dataset,checkpoint,step,seq_len,model_type,example_idx,id_offset,question,answer_gt,prompt,gen_len,temperature,use_kv_cache,generated
ood,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/full_attn_seq512_step_5000.pt,5000,512,full,0,,"Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains",b,"Question: Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains
Answer:",256,0.0,1, Baggart (except for the start of the star chairman of the star chain (except for the star) and the star chain of the star chain (except for the star). The star chain is the star chain of the star chain is the star chain of the star chain is the star chain
id,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/full_attn_seq512_step_5000.pt,5000,512,full,,0,,,"ern highlands and does not partake of any other area's crops.  The most famous member of this crop system is [[coffee]], but one of the more useful plants is [[sorghum]], a dry-land grain.

Ancient cultures also existed all along the [[Nile]], and in modern-day [[Ghana]] &lt;!-- and much more... --&gt;.

==History of North Africa (3500 B.C. - 1500 A.D.)==
=== Ancient Egypt ===
''Main articles: [[History of Ancient Egypt]], [[Kush]]''

Africa's earliest evidence of written history was in [[Ancient Egypt]], a",256,0.0,1,nd in [[1970]]. The [[Ancient Greek programming language|Ancient Greek]] and [[Ancientiga]] and [[Ancientiversea]] and [[Ancientive model|Ancientive model]] and [[Ancientific model]] in [[1970]]. The [[Ancientived model]] is a [[first store]] and [[1970]] 
ood,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_conv_c16_f16_n4_seq512_step_5000.pt,5000,512,sparse_conv,0,,"Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains",b,"Question: Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains
Answer:",256,0.0,1," The Baseball Company (Baseball Company)

== Comparison ==

The Baseball Company (Cambridge Cambridge) ==

The Baseball Cambridge Cambridge (Babylon) is a complete state of the [[Babylonian Cambridge]] (Babylon 1976) and the [[Babylonian Cambridge]] (Babyl"
id,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_conv_c16_f16_n4_seq512_step_5000.pt,5000,512,sparse_conv,,0,,,"ern highlands and does not partake of any other area's crops.  The most famous member of this crop system is [[coffee]], but one of the more useful plants is [[sorghum]], a dry-land grain.

Ancient cultures also existed all along the [[Nile]], and in modern-day [[Ghana]] &lt;!-- and much more... --&gt;.

==History of North Africa (3500 B.C. - 1500 A.D.)==
=== Ancient Egypt ===
''Main articles: [[History of Ancient Egypt]], [[Kush]]''

Africa's earliest evidence of written history was in [[Ancient Egypt]], a",256,0.0,1,nd the [[Arizona Scottish Egyptian School]] (1998). The [[Arizona Scottish Parliament]] (1988) and the [[Arizona Scottish Parliament]] (1988). The [[Arizona Party of Argentina|Argentina]] (1989) and the [[Argentina of Argentina|Argentina]] (1998) and the [
ood,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mlp_c16_f16_n4_seq512_step_5000.pt,5000,512,sparse_mlp,0,,"Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains",b,"Question: Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains
Answer:",256,0.0,1," Booston March (1998)

=== Comparison of Chain ===

* [[Comparison of China]]
* [[Comparison of China]]
* [[Comparison of China]]
* [[Comparison of China]]
* [[Comparison of China]]
* [[Comparison of China]]
* [[Comparison of China]]
* [[Comparison of Chin"
id,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mlp_c16_f16_n4_seq512_step_5000.pt,5000,512,sparse_mlp,,0,,,"ern highlands and does not partake of any other area's crops.  The most famous member of this crop system is [[coffee]], but one of the more useful plants is [[sorghum]], a dry-land grain.

Ancient cultures also existed all along the [[Nile]], and in modern-day [[Ghana]] &lt;!-- and much more... --&gt;.

==History of North Africa (3500 B.C. - 1500 A.D.)==
=== Ancient Egypt ===
''Main articles: [[History of Ancient Egypt]], [[Kush]]''

Africa's earliest evidence of written history was in [[Ancient Egypt]], a",256,0.0,1,"nd the [[Arabic numeral election]] of the [[Arabic numeral election]] in [[1980]]. The [[Arabic numeral election in Arabic languages]] is a [[constitution of Arabic languages]] ([[1980]]), and [[Arabic language|Arabic]] are the [[Arabic languages]] of [[Ar"
ood,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_attn_c16_f16_n4_seq512_step_5000.pt,5000,512,sparse_attn,0,,"Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains",b,"Question: Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains
Answer:",256,0.0,1," A British Columbia Company (Babbage Company)

=============
*[[Albert Collection of Albania]]
*[[Albert College]]
*[[Albert College]]
*[[Albert College]]
*[[Albert College]]
*[[Albert College]]
*[[Albert College]]
*[[Albert College]]
*[[Albert College]]
*"
id,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_attn_c16_f16_n4_seq512_step_5000.pt,5000,512,sparse_attn,,0,,,"ern highlands and does not partake of any other area's crops.  The most famous member of this crop system is [[coffee]], but one of the more useful plants is [[sorghum]], a dry-land grain.

Ancient cultures also existed all along the [[Nile]], and in modern-day [[Ghana]] &lt;!-- and much more... --&gt;.

==History of North Africa (3500 B.C. - 1500 A.D.)==
=== Ancient Egypt ===
''Main articles: [[History of Ancient Egypt]], [[Kush]]''

Africa's earliest evidence of written history was in [[Ancient Egypt]], a",256,0.0,1,nd the [[Anti-Semitism]] and [[Anti-Semitism]] are also a [[statistical system]] of [[state]] and [[statute]]. The [[state]] is a [[state]] of [[state]] and [[statute]] of [[state]] and [[statute]]. The [[state]] is a [[state]] of [[state]] and [[stroke]] 
ood,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mean_c16_f16_n4_seq512_step_5000.pt,5000,512,sparse_mean,0,,"Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains",b,"Question: Which ensemble method can be easily parallelized (trained simultaneously)?
a) Boosting (e.g., AdaBoost, XGBoost)
b) Bagging (e.g., Random Forest)
c) RNNs
d) Markov Chains
Answer:",256,0.0,1," [[Battle of Barcelona]]

=== Background ===

The Basque states are also seen as a single state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of t"
id,/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mean_c16_f16_n4_seq512_step_5000.pt,5000,512,sparse_mean,,0,,,"ern highlands and does not partake of any other area's crops.  The most famous member of this crop system is [[coffee]], but one of the more useful plants is [[sorghum]], a dry-land grain.

Ancient cultures also existed all along the [[Nile]], and in modern-day [[Ghana]] &lt;!-- and much more... --&gt;.

==History of North Africa (3500 B.C. - 1500 A.D.)==
=== Ancient Egypt ===
''Main articles: [[History of Ancient Egypt]], [[Kush]]''

Africa's earliest evidence of written history was in [[Ancient Egypt]], a",256,0.0,1,nd the [[Anglo-Saxon English language|Alexander English]] and [[Alexander English]] and [[Alexander English]] and [[Alexander English]] and [[Alexander English]] and [[Alexander English]] and [[Alexander English]] and [[Alexander English]] and [[Alexander 
