checkpoint,step,model_type,device,seq_len,batch_size,max_id_tokens,max_ood_examples,use_kv_cache,ppl_id,nll_id,tokens_id,ppl_ood,nll_ood,tokens_ood,ood_examples
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/full_attn_seq512_step_5000.pt,5000,full,cuda,512,16,1000000,256,0,3.0931258623093596,1.129182185506552,999936,5.608536132363952,1.72428974651155,21504,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_conv_c16_f16_n4_seq512_step_5000.pt,5000,sparse_conv,cuda,512,16,1000000,256,0,3.239368966001577,1.1753785472555889,999936,5.873976256286603,1.7705317905970983,21504,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mlp_c16_f16_n4_seq512_step_5000.pt,5000,sparse_mlp,cuda,512,16,1000000,256,0,3.1059752888539705,1.133327768756009,999936,5.628157631339237,1.7277821472712926,21504,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_attn_c16_f16_n4_seq512_step_5000.pt,5000,sparse_attn,cuda,512,16,1000000,256,0,3.31299267078975,1.197851911057464,999936,5.929764151468518,1.779984440122332,21504,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mean_c16_f16_n4_seq512_step_5000.pt,5000,sparse_mean,cuda,512,16,1000000,256,0,3.295516958198998,1.1925630473626678,999936,5.831718441608604,1.7633117153531028,21504,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/full_attn_seq4096_step_5000.pt,5000,full,cuda,4096,16,1000000,256,0,2.817638572793619,1.035899148612726,999424,4.834821300531213,1.575844168663025,20480,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_conv_c16_f16_n4_seq4096_step_5000.pt,5000,sparse_conv,cuda,4096,16,1000000,256,0,2.9451495757040105,1.0801596055265332,999424,5.343772854407593,1.6759319305419922,20480,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mlp_c16_f16_n4_seq4096_step_5000.pt,5000,sparse_mlp,cuda,4096,16,1000000,256,0,2.8147359147374766,1.0348684435985127,999424,4.710395080572533,1.549771785736084,20480,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_attn_c16_f16_n4_seq4096_step_5000.pt,5000,sparse_attn,cuda,4096,16,1000000,256,0,3.061293258395997,1.1188374601426672,999424,5.32633154100228,1.6726627349853516,20480,84
/home/xinyuya2/jinwei/nsa/CS441-Trainable-Sparse-Attention-for-LLM-Inference-Acceleration/pretrain/ckpt/sparse_attn_mean_c16_f16_n4_seq4096_step_5000.pt,5000,sparse_mean,cuda,4096,16,1000000,256,0,3.048878865353171,1.114773937913238,999424,5.700405346908325,1.7405372858047485,20480,84
